Lat,Long,Species,Lifestage,Sex,Site,Year, Ag  , As  , Ba   , Be  , Bi  , Cd  , Co   , Cu  , Fe   , Ga  , Hg , Li  , Mn   , Mo  , Ni  , Pb  , Rb  , Sb  , Se  , Sn  , Sr  , Tl  , U  , V   , Zn  
57.4906736,-111.6166843,Amphibian,Tadpole,Unknown,A58,2011,,1.152,,,,0.07,2.09,,,4.338,0.119,,414.5,,4.17,1.7,15.48,,0.482,,,,,,117.6
57.4906736,-111.6166843,Amphibian,Adult,Unknown,A58,2011,,0.154,,,,0.268,0.45,,,0.432,0.123,,77.4,,1.87,0,15.18,,0.581,,,,,,121.6
57.13339069,-111.6000331,Amphibian,Tadpole,Unknown,A48,2011,,0.715,,,,0.065,0.63,,,1.122,0.039,,167.1,,2.79,0.54,5.78,,0.426,,,,,,60.9
56.6335458,-111.1001855,Amphibian,Adult,Unknown,A37,2011,,0.222,,,,0.176,0.58,,,0.616,0.132,,51.7,,2.49,0,7.33,,0.777,,,,,,160
57.4906736,-111.6166843,Amphibian,Tadpole,Unknown,A58,2011,,0.658,,,,0.062,1.63,,,2.779,0.116,,258,,3.3,0.78,22.94,,0.468,,,,,,102.1
57.4906736,-111.6166843,Amphibian,RM,Unknown,A58,2011,,0.252,,,,0,0.52,,,0.948,0.095,,6.9,,2.48,0,9.39,,0.846,,,,,,174.9
57.4906736,-111.6166843,Amphibian,Adult,Unknown,A58,2011,,0.203,,,,0.226,0.31,,,0.472,0.13,,43.8,,1.78,0,8.61,,0.89,,,,,,123.3
57.13339069,-111.6000331,Amphibian,Adult,Unknown,A48,2011,,0,,,,0.192,0,,,0.274,0.066,,17.1,,1.38,0,5.47,,0,,,,,,108.6
57.13339069,-111.6000331,Amphibian,RM,Unknown,A48,2011,,0.208,,,,0,0.6,,,0.786,0.023,,9.1,,1.57,0,10.84,,0.503,,,,,,76.5
56.516886,-111.3167665,Amphibian,RM,Unknown,A31,2011,,0.334,,,,0.015,0.48,,,1.307,0.042,,16.6,,1.4,0,5.36,,0.566,,,,,,145.5
58.55017326,-111.1334448,Amphibian,Tadpole,Unknown,A64,2011,,6.183,,,,2.559,2.49,,,4.307,0.044,,1691.2,,7.3,2.36,7.19,,1.149,,,,,,89.9
58.55017326,-111.1334448,Amphibian,Adult,Unknown,A64,2011,,0.179,,,,0.328,0.25,,,0.779,0.17,,74.9,,2.8,0,23.39,,0.916,,,,,,165
58.55019333,-110.5831375,Amphibian,Adult,Unknown,A65,2011,,0.228,,,,0.191,0.22,,,0.856,0.118,,68.1,,2.51,0,15.45,,1.274,,,,,,132.7
58.71677162,-111.1835315,Amphibian,Tadpole,Unknown,A68,2011,,0.791,,,,0.163,2.52,,,2.385,0.102,,406.9,,2.22,0.27,13.41,,0.65,,,,,,102.3
58.71677162,-111.1835315,Amphibian,Adult,Unknown,A68,2011,,0,,,,1.322,0.41,,,0.671,0.141,,41.9,,2.73,0,7.74,,1.042,,,,,,186
58.71677162,-111.1835315,Amphibian,RM,Unknown,A68,2011,,0,,,,0.689,0.29,,,2.055,0.101,,30.3,,2.15,0,7.98,,1.065,,,,,,189.2
55.72881739,-110.9082927,River Otter,Unknown,Female,A20,2012,0.035,0.609,0,0,0.009,0.272,0.049,16.8,922,0.004,0.909,0.02,11.9,1.97,0.046,0.019,16.4,0,2.25,0,0.05,0,0,0.104,63.1
59.43340655,-112.3500783,Amphibian,RM,Unknown,A73,2012,0,0,50,0,0,0,,9.8,252,1.7,0.054,,17,0.52,1.9,0,12,0,0.46,0,14,0,0,0.56,100
59.43340655,-112.3500783,Amphibian,Adult,Unknown,A73,2012,0,0,15,0,0,0.28,,12,280,0.51,0.103,0.07,61,0.74,2.5,0,8.3,0,0.45,0,15,0,0,0.22,137
57.68346579,-111.9001576,Amphibian,Adult,Unknown,A61,2012,0,0,20,0,0,0.13,,14,168,0.7,0.134,0.099,36,0.16,1.3,0,15,0,0.65,0,13,0,0,0,113
